Time
Athletico Paranaense
Atlético Goianiense
Atlético-MG
Bahia
Botafogo
Corinthians
Ceará
Fluminense
Coritiba
Flamengo
Fortaleza
Goiás
Grêmio
Internacional
Palmeiras
Red Bull Bragantino
São Paulo
Santos
Vasco da Gama
Sport
